"00C","16C","R","20200401",""
"00D","84H","R","20200401",""
"00F","13T","R","20150401",""
"00FAA","13TAA","R","20150401",""
"00FAC","13TAD","R","20150401",""
"00FAD","13TAE","R","20150401",""
"00FAE","13TAF","R","20150401",""
"00FAF","13TAG","R","20150401",""
"00FAG","13TAH","R","20150401",""
"00FAH","13TAJ","R","20150401",""
"00FAJ","13TAK","R","20150401",""
"00FAK","13TAL","R","20150401",""
"00FAL","13TAM","R","20150401",""
"00FAM","13TAN","R","20150401",""
"00FAN","13TAP","R","20150401",""
"00FAP","13TAQ","R","20150401",""
"00FAQ","13TAR","R","20150401",""
"00FAR","13TAT","R","20150401",""
"00FAT","13TAV","R","20150401",""
"00FAV","13TAW","R","20150401",""
"00FAW","13TAX","R","20150401",""
"00G","13T","R","20150401",""
"00GAA","13TAA","R","20150401",""
"00GAC","13TAC","R","20150401",""
"00GAD","13TAY","R","20150401",""
"00GAE","13TCA","R","20150401",""
"00GAF","13TCC","R","20150401",""
"00GAG","13TCD","R","20150401",""
"00GAH","13TCE","R","20150401",""
"00H","13T","R","20150401",""
"00HAA","13TAA","R","20150401",""
"00J","84H","R","20200401",""
"00K","16C","R","20200401",""
"00M","16C","R","20200401",""
"00W","14L","R","20170401",""
"01C","27D","R","20200401",""
"01CAC","27DAD","R","20200401",""
"01M","14L","R","20170401",""
"01N","14L","R","20170401",""
"01R","27D","R","20200401",""
"01RAC","27DAA","R","20200401",""
"02","12","R","19990401","X"
"02D","27D","R","20200401",""
"02DAA","27DAA","R","20200401",""
"02F","27D","R","20200401",""
"02FAA","27DAC","R","20200401",""
"02N","36J","R","20200401",""
"02NAC","36JAD","R","20200401",""
"02R","36J","R","20200401",""
"02RDF","36JAA","R","20200401",""
"02RDG","36JAC","R","20200401",""
"02V","15F","R","20180401",""
"02W","36J","R","20200401",""
"03","12","R","19990401","X"
"03A","X2C4Y","R","20210401",""
"03C","15F","R","20180401",""
"03D","42D","R","20200401",""
"03E","42D","R","20200401",""
"03G","15F","R","20180401",""
"03J","X2C4Y","R","20210401",""
"03M","42D","R","20200401",""
"03T","71E","R","20200401",""
"03V","78H","R","20200401",""
"03X","15M","R","20190401",""
"03Y","15M","R","20190401",""
"04D","71E","R","20200401",""
"04E","52R","R","20200401",""
"04EAA","52RAG","R","20200401","X"
"04F","M1J4Y","R","20210401",""
"04G","78H","R","20200401",""
"04H","52R","R","20200401",""
"04HAD","52RAG","R","20200401","X"
"04J","15M","R","20190401",""
"04K","52R","R","20200401",""
"04L","52R","R","20200401",""
"04LAA","52RAG","R","20200401","X"
"04LAE","52RAE","R","20200401",""
"04M","52R","R","20200401",""
"04MAA","52RAG","R","20200401","X"
"04MAE","52RAD","R","20200401",""
"04N","52R","R","20200401",""
"04NAA","52RAG","R","20200401","X"
"04NAD","52RAF","R","20200401",""
"04Q","71E","R","20200401",""
"04R","15M","R","20190401",""
